epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,17923.4,inf,0.25723,0.89808,0.69054,0.72075,0.76095,0.76095,0.08478,0.81737,0.11335,0.005578,0.005578,0.005578
136,18057.9,0.02158,0.26473,0.89859,0.69691,0.71345,0.76078,0.76077,0.08383,0.82134,0.11239,0.005545,0.005545,0.005545
137,18190.5,0.02088,0.2576,0.89882,0.69656,0.71372,0.76071,0.76071,0.0838,0.82519,0.11217,0.005512,0.005512,0.005512
138,18321.9,0.02184,0.25326,0.89769,0.69873,0.71238,0.76045,0.76044,0.08375,0.82831,0.11181,0.005479,0.005479,0.005479
139,18451.8,0.02152,0.24723,0.89748,0.69723,0.71282,0.75997,0.75995,0.08346,0.83154,0.11127,0.005446,0.005446,0.005446
140,18582.6,0.02122,0.24813,0.89773,0.69895,0.71066,0.7597,0.75969,0.08262,0.83444,0.11063,0.005413,0.005413,0.005413
141,18714.5,0.02269,0.24904,0.898,0.69832,0.71162,0.75949,0.75947,0.08244,0.83661,0.11036,0.00538,0.00538,0.00538
142,18847.9,0.02238,0.24768,0.89754,0.69585,0.71124,0.75914,0.75912,0.08203,0.8386,0.11037,0.005347,0.005347,0.005347
143,18980.6,0.02305,0.24849,0.89731,0.69338,0.71431,0.75876,0.75875,0.0815,0.84143,0.10981,0.005314,0.005314,0.005314
144,19112.8,inf,0.23993,0.89887,0.69637,0.71175,0.75846,0.75845,0.08038,0.84477,0.10896,0.005281,0.005281,0.005281
145,19243.2,0.02391,0.23726,0.89902,0.69714,0.71113,0.75792,0.75791,0.07872,0.84932,0.10789,0.005248,0.005248,0.005248
146,19373.2,0.0228,0.23963,0.89817,0.69744,0.71014,0.75781,0.75779,0.07815,0.85375,0.10754,0.005215,0.005215,0.005215
147,19506.6,0.02247,0.23688,0.89802,0.69431,0.71255,0.7576,0.75758,0.07825,0.85844,0.10751,0.005182,0.005182,0.005182
148,19635.9,0.02259,0.23065,0.89775,0.69107,0.7176,0.7575,0.75748,0.07802,0.86182,0.10709,0.005149,0.005149,0.005149
